#,question_word,correct_answer_word,system_guess_word,label
1,enormously,tremendously,appropriately,guess
2,provisions,stipulations,interrelations,guess
3,haphazardly,randomly,densely,guess
4,prominent,conspicuous,ancient,wrong
5,zenith,pinnacle,decline,guess
6,flawed,imperfect,crude,guess
7,urgently,desperately,conceivably,guess
8,consumed,eaten,bred,guess
9,advent,coming,stability,guess
10,concisely,succinctly,positively,guess
11,salutes,greetings,greetings,guess
12,solitary,alone,alert,guess
13,hasten,accelerate,permit,wrong
14,perseverance,endurance,skill,wrong
15,fanciful,imaginative,imaginative,guess
16,showed,demonstrated,repeated,guess
17,constantly,continually,rapidly,guess
18,issues,subjects,training,guess
19,furnish,supply,supply,correct
20,costly,expensive,complicated,guess
21,recognized,acknowledged,welcomed,guess
22,spot,location,sea,wrong
23,make,earn,borrow,wrong
24,often,frequently,hardly,wrong
25,easygoing,relaxed,farming,guess
26,debate,argument,election,wrong
27,narrow,thin,thin,correct
28,arranged,planned,explained,guess
29,infinite,limitless,relative,wrong
30,showy,striking,prickly,guess
31,levied,imposed,believed,guess
32,deftly,skillfully,humorously,guess
33,distribute,circulate,research,wrong
34,discrepancies,differences,weights,guess
35,prolific,productive,serious,guess
36,unmatched,unequaled,unrecognized,guess
37,peculiarly,uniquely,patriotically,guess
38,hue,color,color,correct
39,hind,rear,rear,correct
40,highlight,accentuate,restore,guess
41,hastily,hurriedly,habitually,guess
42,temperate,mild,mild,correct
43,grin,smile,exercise,wrong
44,verbally,orally,orally,guess
45,physician,doctor,nurse,guess
46,essentially,basically,possibly,guess
47,keen,sharp,sharp,correct
48,situated,positioned,positioned,guess
49,principal,major,major,correct
50,slowly,gradually,gradually,guess
51,built,constructed,financed,guess
52,tasks,jobs,materials,guess
53,unlikely,improbable,improbable,guess
54,halfheartedly,apathetically,bipartisanly,guess
55,annals,chronicles,homes,guess
56,wildly,furiously,distinctively,guess
57,hailed,acclaimed,addressed,guess
58,command,mastery,observation,wrong
59,concocted,devised,requested,guess
60,prospective,potential,particular,guess
61,generally,broadly,broadly,guess
62,sustained,prolonged,refined,guess
63,perilous,dangerous,offensive,guess
64,tranquillity,peacefulness,peacefulness,guess
65,dissipate,disperse,disperse,guess
66,primarily,chiefly,consistently,guess
67,colloquial,conversational,incorrect,wrong
68,resolved,settled,forgotten,guess
69,feasible,possible,possible,guess
70,expeditiously,rapidly,actually,guess
71,percentage,proportion,proportion,guess
72,terminated,ended,postponed,guess
73,uniform,alike,complex,wrong
74,figure,solve,divide,wrong
75,sufficient,enough,enough,correct
76,fashion,manner,fathom,wrong
77,marketed,sold,sold,guess
78,bigger,larger,better,guess
79,roots,origins,cure,wrong
80,normally,ordinarily,haltingly,guess
