#,question_word,correct_answer_word,system_guess_word,label
1,enormously,tremendously,tremendously,correct
2,provisions,stipulations,stipulations,correct
3,haphazardly,randomly,randomly,correct
4,prominent,conspicuous,conspicuous,correct
5,zenith,pinnacle,pinnacle,correct
6,flawed,imperfect,imperfect,correct
7,urgently,desperately,desperately,correct
8,consumed,eaten,eaten,correct
9,advent,coming,coming,correct
10,concisely,succinctly,succinctly,correct
11,salutes,greetings,ceremonies,wrong
12,solitary,alone,restless,wrong
13,hasten,accelerate,accelerate,correct
14,perseverance,endurance,generosity,wrong
15,fanciful,imaginative,imaginative,correct
16,showed,demonstrated,demonstrated,correct
17,constantly,continually,continually,correct
18,issues,subjects,subjects,correct
19,furnish,supply,impress,wrong
20,costly,expensive,expensive,correct
21,recognized,acknowledged,acknowledged,correct
22,spot,location,location,correct
23,make,earn,earn,correct
24,often,frequently,frequently,correct
25,easygoing,relaxed,relaxed,correct
26,debate,argument,argument,correct
27,narrow,thin,thin,correct
28,arranged,planned,planned,correct
29,infinite,limitless,limitless,correct
30,showy,striking,prickly,wrong
31,levied,imposed,imposed,correct
32,deftly,skillfully,skillfully,correct
33,distribute,circulate,commercialize,wrong
34,discrepancies,differences,differences,correct
35,prolific,productive,productive,correct
36,unmatched,unequaled,unequaled,correct
37,peculiarly,uniquely,uniquely,correct
38,hue,color,color,correct
39,hind,rear,rear,correct
40,highlight,accentuate,accentuate,correct
41,hastily,hurriedly,hurriedly,correct
42,temperate,mild,mild,correct
43,grin,smile,smile,correct
44,verbally,orally,orally,correct
45,physician,doctor,doctor,correct
46,essentially,basically,basically,correct
47,keen,sharp,useful,wrong
48,situated,positioned,positioned,correct
49,principal,major,major,correct
50,slowly,gradually,gradually,correct
51,built,constructed,constructed,correct
52,tasks,jobs,jobs,correct
53,unlikely,improbable,improbable,correct
54,halfheartedly,apathetically,apathetically,correct
55,annals,chronicles,chronicles,correct
56,wildly,furiously,furiously,correct
57,hailed,acclaimed,remembered,wrong
58,command,mastery,mastery,correct
59,concocted,devised,devised,correct
60,prospective,potential,potential,correct
61,generally,broadly,broadly,correct
62,sustained,prolonged,prolonged,correct
63,perilous,dangerous,dangerous,correct
64,tranquillity,peacefulness,weariness,guess
65,dissipate,disperse,disperse,correct
66,primarily,chiefly,chiefly,correct
67,colloquial,conversational,conversational,correct
68,resolved,settled,settled,correct
69,feasible,possible,possible,correct
70,expeditiously,rapidly,rapidly,correct
71,percentage,proportion,proportion,correct
72,terminated,ended,postponed,wrong
73,uniform,alike,alike,correct
74,figure,solve,solve,correct
75,sufficient,enough,enough,correct
76,fashion,manner,manner,correct
77,marketed,sold,sold,correct
78,bigger,larger,larger,correct
79,roots,origins,origins,correct
80,normally,ordinarily,ordinarily,correct
